open_time_ms,open,high,low,close,volume,close_time_ms,quote_asset_volume,num_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
1769972760000,77763.81000000,77802.03000000,77763.81000000,77777.98000000,6.56502000,1769972819999,510661.73912430,3598,3.74153000,291024.23197050,0
1769972820000,77777.99000000,77792.09000000,77760.00000000,77792.08000000,3.90838000,1769972879999,303969.72167200,3334,2.52236000,196165.50970200,0
1769972880000,77792.08000000,77854.00000000,77792.08000000,77800.89000000,4.84476000,1769972939999,377047.18406600,3575,1.48465000,115545.69657420,0
1769972940000,77800.89000000,77805.50000000,77777.08000000,77796.89000000,5.74974000,1769972999999,447270.85824540,2705,2.20001000,171132.26490540,0
1769973000000,77796.89000000,77879.65000000,77796.88000000,77860.99000000,6.54288000,1769973059999,509376.72615260,4198,4.28769000,333795.63623860,0
1769973060000,77860.99000000,77923.27000000,77860.98000000,77885.13000000,5.03377000,1769973119999,392116.96369500,7081,2.97288000,231560.65606030,0
1769973120000,77885.14000000,77885.14000000,77841.63000000,77852.11000000,8.90512000,1769973179999,693329.00032510,2664,0.63719000,49608.63418070,0
1769973180000,77852.10000000,77861.29000000,77763.17000000,77763.18000000,7.14945000,1769973239999,556387.90197100,3788,0.81911000,63737.87237080,0
1769973240000,77763.17000000,77777.91000000,77736.00000000,77736.00000000,6.63189000,1769973299999,515710.54141920,3393,1.34374000,104487.61139920,0
1769973300000,77736.00000000,77736.01000000,77650.85000000,77668.48000000,12.83490000,1769973359999,997226.32683190,6496,3.75025000,291360.30307660,0
1769973360000,77668.49000000,77745.00000000,77607.32000000,77634.26000000,9.99310000,1769973419999,776019.95982000,8772,3.82457000,297011.97838870,0
1769973420000,77634.26000000,77722.37000000,77634.26000000,77680.01000000,3.36838000,1769973479999,261720.82131110,3369,1.82629000,141887.23336880,0
1769973480000,77680.01000000,77719.18000000,77680.01000000,77712.50000000,4.21615000,1769973539999,327608.28075300,2666,1.44332000,112140.70443030,0
1769973540000,77712.50000000,77797.44000000,77686.93000000,77788.99000000,8.18489000,1769973599999,636392.74616690,2570,7.30200000,567751.56569130,0
1769973600000,77788.98000000,77799.96000000,77681.56000000,77713.12000000,4.76853000,1769973659999,370685.63216100,4515,1.39995000,108790.97390400,0
1769973660000,77713.12000000,77800.00000000,77707.98000000,77756.96000000,5.43528000,1769973719999,422702.12341480,4538,3.62854000,282181.34617320,0
1769973720000,77756.96000000,77764.93000000,77737.79000000,77764.93000000,2.61367000,1769973779999,203206.48778910,2101,1.37559000,106943.97783270,0
1769973780000,77764.93000000,77768.01000000,77746.53000000,77759.54000000,3.72529000,1769973839999,289669.17272180,2126,2.14481000,166772.22797240,0
1769973840000,77759.54000000,77759.54000000,77721.72000000,77736.73000000,3.36497000,1769973899999,261585.30007770,2188,2.24926000,174844.15188470,0
1769973900000,77736.72000000,77756.53000000,77725.83000000,77728.01000000,1.95246000,1769973959999,151787.54687220,3496,0.92702000,72067.94237900,0
1769973960000,77728.01000000,77728.01000000,77692.71000000,77721.55000000,3.01496000,1769974019999,234278.43285620,2328,1.14245000,88772.44606560,0
1769974020000,77721.55000000,77737.05000000,77672.00000000,77681.04000000,3.91109000,1769974079999,303903.59372400,3435,1.62719000,126412.37130590,0
1769974080000,77681.04000000,77685.44000000,77644.78000000,77665.28000000,4.26589000,1769974139999,331283.16103570,2045,1.24403000,96606.11188020,0
1769974140000,77665.27000000,77700.00000000,77664.77000000,77700.00000000,1.25456000,1769974199999,97443.64451300,1365,1.15290000,89547.49351290,0
1769974200000,77700.00000000,77717.05000000,77682.43000000,77692.59000000,6.77867000,1769974259999,526745.72090030,3405,0.64652000,50232.73970050,0
1769974260000,77692.59000000,77705.36000000,77628.44000000,77658.20000000,18.23723000,1769974319999,1416281.23092880,3813,4.26910000,331512.14281910,0
1769974320000,77658.01000000,77755.00000000,77638.80000000,77735.15000000,3.76788000,1769974379999,292706.95834100,5215,2.65271000,206048.55025290,0
1769974380000,77735.16000000,77765.48000000,77720.00000000,77765.47000000,7.15097000,1769974439999,555853.14285190,4248,5.24691000,407828.00801370,0
1769974440000,77765.47000000,77799.02000000,77737.31000000,77737.32000000,9.30385000,1769974499999,723582.70322050,3917,4.44510000,345716.66069860,0
1769974500000,77737.32000000,77737.32000000,77643.15000000,77643.16000000,3.16974000,1769974559999,246278.58643030,3277,1.18551000,92119.25125090,0
1769974560000,77643.16000000,77644.11000000,77561.93000000,77605.98000000,13.82578000,1769974619999,1072765.90530010,5098,4.96573000,385269.56071840,0
1769974620000,77604.40000000,77615.29000000,77571.49000000,77595.49000000,3.90671000,1769974679999,303136.97069930,3195,2.17010000,168381.54729550,0
1769974680000,77595.49000000,77641.18000000,77595.49000000,77620.00000000,3.70992000,1769974739999,288008.01173100,3130,2.45621000,190679.04704590,0
1769974740000,77620.00000000,77620.00000000,77571.56000000,77584.01000000,6.89249000,1769974799999,534823.97217560,3918,2.65949000,206348.66332010,0
1769974800000,77584.00000000,77584.00000000,77501.95000000,77508.88000000,6.38812000,1769974859999,495370.25801690,4812,1.19775000,92852.11248560,0
1769974860000,77508.89000000,77583.71000000,77508.89000000,77583.71000000,2.42061000,1769974919999,187694.43975660,4110,1.23591000,95829.13251980,0
1769974920000,77583.70000000,77589.71000000,77567.46000000,77578.39000000,2.07691000,1769974979999,161117.12624380,1594,1.18202000,91690.87903610,0
1769974980000,77578.39000000,77578.39000000,77545.67000000,77560.01000000,1.57299000,1769975039999,122006.49180860,2091,0.54363000,42164.65727680,0
1769975040000,77560.01000000,77562.74000000,77524.16000000,77544.37000000,3.18715000,1769975099999,247156.12199080,3245,0.81949000,63547.94070270,0
1769975100000,77544.37000000,77544.37000000,77380.99000000,77381.07000000,26.43980000,1769975159999,2047945.65770670,13701,4.64361000,359592.05910740,0
1769975160000,77381.07000000,77400.37000000,77200.58000000,77249.01000000,21.06081000,1769975219999,1627954.48300740,13352,7.10586000,549015.01561180,0
1769975220000,77249.02000000,77398.38000000,77249.01000000,77286.16000000,17.03512000,1769975279999,1317110.14393590,8251,9.73365000,752563.78542430,0
1769975280000,77286.16000000,77323.97000000,77260.27000000,77323.97000000,4.92545000,1769975339999,380664.40551370,3901,1.63702000,126508.58470810,0
1769975340000,77323.98000000,77353.36000000,77270.43000000,77281.84000000,4.66611000,1769975399999,360705.88453310,4925,1.55296000,120036.78147310,0
1769975400000,77281.85000000,77383.70000000,77280.00000000,77311.88000000,10.14707000,1769975459999,784798.25230340,5289,7.59947000,587718.58610960,0
1769975460000,77311.89000000,77360.00000000,77310.31000000,77316.39000000,10.92006000,1769975519999,844435.94533760,3982,7.19644000,556450.65702190,0
1769975520000,77316.39000000,77338.50000000,77306.59000000,77330.00000000,5.91147000,1769975579999,457069.54332160,2767,3.11708000,241002.49876100,0
1769975580000,77330.00000000,77330.00000000,77280.17000000,77282.40000000,8.25015000,1769975639999,637738.32738930,2519,3.18317000,246076.13503760,0
1769975640000,77282.39000000,77282.40000000,77216.74000000,77232.06000000,4.82594000,1769975699999,372869.06669700,2517,1.28525000,99292.63793730,0
1769975700000,77232.06000000,77246.00000000,77150.00000000,77152.93000000,11.54752000,1769975759999,891263.91393110,4494,2.43474000,187903.89833660,0
1769975760000,77152.93000000,77152.93000000,77000.01000000,77003.37000000,31.61160000,1769975819999,2436203.35040020,8172,11.59752000,894055.69042950,0
1769975820000,77003.37000000,77104.00000000,77001.79000000,77104.00000000,13.20207000,1769975879999,1017144.05788530,5733,6.95059000,535561.57455130,0
1769975880000,77103.99000000,77136.00000000,77074.31000000,77074.32000000,5.69172000,1769975939999,438910.11779800,5176,2.49135000,192104.15072180,0
1769975940000,77074.32000000,77193.69000000,77074.32000000,77174.78000000,13.40069000,1769975999999,1034081.02361980,4845,11.66958000,900510.19284570,0
1769976000000,77174.77000000,77174.77000000,77078.31000000,77132.88000000,12.11442000,1769976059999,934200.91751030,8727,4.50388000,347311.77680240,0
1769976060000,77132.87000000,77162.88000000,77084.00000000,77096.00000000,11.55462000,1769976119999,891210.97320200,7535,3.84487000,296513.76021180,0
1769976120000,77096.01000000,77121.10000000,76970.00000000,76972.74000000,29.69070000,1769976179999,2286623.07756490,7806,7.26026000,559275.88114170,0
1769976180000,76972.74000000,76980.72000000,76918.09000000,76943.65000000,22.73680000,1769976239999,1749661.66020600,6512,6.80858000,523924.23777650,0
1769976240000,76943.64000000,77054.00000000,76879.41000000,77054.00000000,36.57657000,1769976299999,2814157.51289570,9450,12.43153000,957218.10660190,0
1769976300000,77054.00000000,77104.44000000,76970.77000000,76989.46000000,21.77362000,1769976359999,1677831.30023070,7826,11.40049000,878416.95441150,0
1769976360000,76989.46000000,77019.26000000,76960.00000000,76974.03000000,8.03813000,1769976419999,618815.03622970,5346,4.02848000,310103.04010420,0
1769976420000,76974.02000000,77001.44000000,76953.85000000,76953.85000000,7.98710000,1769976479999,614852.68638700,4877,3.60477000,277480.29579220,0
1769976480000,76953.86000000,77025.62000000,76950.00000000,77025.62000000,9.25210000,1769976539999,712286.94288250,4583,7.40786000,570328.71261040,0
1769976540000,77025.62000000,77181.29000000,77025.62000000,77180.70000000,27.15639000,1769976599999,2094208.17161320,7159,21.65787000,1670111.51134010,0
1769976600000,77180.71000000,77301.65000000,77143.95000000,77301.65000000,15.00769000,1769976659999,1158677.91631930,7042,11.97206000,924342.56744900,0
1769976660000,77301.64000000,77306.01000000,77241.24000000,77243.80000000,24.51729000,1769976719999,1894736.09490400,6261,11.78684000,910943.90154540,0
1769976720000,77243.80000000,77286.00000000,77190.15000000,77277.38000000,15.01217000,1769976779999,1159810.51454810,5223,2.76780000,213774.65014580,0
1769976780000,77277.38000000,77277.38000000,77212.89000000,77221.79000000,4.59772000,1769976839999,355097.02378460,4542,2.82265000,217970.99102610,0
1769976840000,77221.79000000,77225.99000000,77145.96000000,77193.13000000,19.59537000,1769976899999,1512298.33604010,10415,11.99732000,925788.38551170,0
1769976900000,77193.13000000,77210.00000000,77089.66000000,77188.00000000,7.00033000,1769976959999,540065.96027020,10035,2.59791000,200474.34458130,0
1769976960000,77188.00000000,77300.68000000,77176.52000000,77300.68000000,13.82467000,1769977019999,1067754.11843470,6021,6.94150000,536222.50877150,0
1769977020000,77300.67000000,77329.31000000,77286.18000000,77329.31000000,7.11860000,1769977079999,550321.33395360,2670,5.60187000,433074.30923030,0
1769977080000,77329.32000000,77366.66000000,77268.70000000,77310.16000000,25.29436000,1769977139999,1955580.76643240,5890,13.44112000,1039200.14277320,0
1769977140000,77310.16000000,77318.01000000,77223.07000000,77250.59000000,6.66741000,1769977199999,515138.08707730,5427,3.01132000,232589.70852560,0
1769977200000,77250.59000000,77317.03000000,77242.58000000,77306.37000000,8.71345000,1769977259999,673384.02029870,3049,6.40081000,494645.36226730,0
1769977260000,77306.37000000,77356.00000000,77298.00000000,77355.99000000,3.19498000,1769977319999,247085.41152620,2440,1.54038000,119126.04602440,0
